"logcon","smooth","K.S"
"1",0.176,NA,0.225355709764238
"2",0.001,NA,0.00131525699734414
"3",0.001,NA,0.000995587375361429
"4",0.048,NA,0.0235963921429023
"5",0.037,NA,0.104610577876392
"6",0.001,NA,0.000754051894885976
"7",0.166,NA,0.584470467364235
"8",0.003,NA,0.0124506515852041
"9",0.019,NA,0.042711738969382
"10",0.002,NA,0.000304022930789682
"11",0.001,NA,6.00175156008076e-05
"12",0.003,NA,0.00379192325370625
"13",0.003,NA,0.000565698421827632
"14",0.01,NA,0.0235963921429023
"15",0.002,NA,0.0290800845283452
"16",0.001,NA,0.000995587375361429
"17",0.047,NA,0.225355709764238
"18",0.089,NA,0.167629861468165
"19",0.01,NA,0.08829099122278
"20",0.052,NA,0.0290800845283452
"21",0.036,NA,0.104610577876392
"22",0.035,NA,0.08829099122278
"23",0.029,NA,0.0124506515852041
"24",0.031,NA,0.0741284108856448
"25",0.013,NA,0.000754051894885976
"26",0.007,NA,0.0235963921429023
"27",0.022,NA,0.0190159276889535
"28",0.002,NA,9.87712549738173e-06
"29",0.003,NA,0.0124506515852041
"30",0.074,NA,0.062190003462748
"31",0.003,NA,0.00486178055538844
"32",0.002,NA,0.0124506515852041
"33",0.001,NA,0.000565698421827632
"34",0.002,NA,0.00486178055538844
"35",0.09,NA,0.167629861468165
"36",0.011,NA,0.0124506515852041
"37",0.019,NA,0.0741284108856448
"38",0.003,NA,0.00781590304643887
"39",0.011,NA,0.0190159276889535
"40",0.01,NA,0.0153884656148784
"41",0.008,NA,0.0124506515852041
"42",0.051,NA,0.0290800845283452
"43",0.002,NA,0.00379192325370625
"44",0.017,NA,0.0190159276889535
"45",0.021,NA,0.0515981549514742
"46",0.003,NA,0.0124506515852041
"47",0.09,NA,0.225355709764238
"48",0.004,NA,0.0124506515852041
"49",0.004,NA,0.0235963921429023
"50",0.003,NA,0.00379192325370625
"51",0.004,NA,0.0124506515852041
"52",0.002,NA,0.000304022930789682
"53",0.002,NA,0.00293388097445924
"54",0.092,NA,0.08829099122278
"55",0.109,NA,0.195517517300654
"56",0.066,NA,0.167629861468165
"57",0.022,NA,0.0515981549514742
"58",0.001,NA,0.00226209984200354
"59",0.012,NA,0.0124506515852041
"60",0.006,NA,0.062190003462748
"61",0.111,NA,0.424926216384804
"62",0.002,NA,0.0153884656148784
"63",0.009,NA,0.0290800845283452
"64",0.18,NA,0.380392026690902
"65",0.076,NA,0.08829099122278
"66",0.001,NA,0.00173489159612916
"67",0.075,NA,0.042711738969382
"68",0.014,NA,0.0124506515852041
"69",0.031,NA,0.00293388097445924
"70",0.001,NA,4.31213369015415e-05
"71",0.001,NA,0.00131525699734414
"72",0.283,NA,0.528636444814501
"73",0.001,NA,0.000754051894885976
"74",0.02,NA,0.0235963921429023
"75",0.001,NA,0.000225266396098323
"76",0.036,NA,0.062190003462748
"77",0.002,NA,0.0061554466603374
"78",0.001,NA,3.0099578535947e-05
"79",0.001,NA,0.000565698421827632
"80",0.009,NA,0.000754051894885976
"81",0.01,NA,0.0061554466603374
"82",0.001,NA,8.14700074069918e-07
"83",0.009,NA,0.0515981549514742
"84",0.059,NA,0.104610577876392
"85",0.078,NA,0.08829099122278
"86",0.002,NA,0.000565698421827632
"87",0.002,NA,0.000995587375361429
"88",0.011,NA,0.042711738969382
"89",0.026,NA,0.0352956393152311
"90",0.037,NA,0.122762815314633
"91",0.002,NA,6.00175156008076e-05
"92",0.001,NA,2.07652221577703e-05
"93",0.011,NA,0.0124506515852041
"94",0.001,NA,0.000754051894885976
"95",0.002,NA,0.0061554466603374
"96",0.003,NA,0.00781590304643887
"97",0.001,NA,2.07652221577703e-05
"98",0.001,NA,9.87712549738173e-06
"99",0.038,NA,0.0290800845283452
"100",0.031,NA,0.0515981549514742
"101",0.002,NA,0.00379192325370625
"102",0.013,NA,0.042711738969382
"103",0.002,NA,0.000118525403126402
"104",0.021,NA,0.0235963921429023
"105",0.002,NA,0.00781590304643887
"106",0.031,NA,0.0515981549514742
"107",0.004,NA,0.000754051894885976
"108",0.086,NA,0.167629861468165
"109",0.005,NA,0.00173489159612916
"110",0.33,NA,0.699591898907392
"111",0.001,NA,6.63633287523169e-06
"112",0.007,NA,0.00781590304643887
"113",0.005,NA,0.00293388097445924
"114",0.057,NA,0.195517517300654
"115",0.001,NA,0.000118525403126402
"116",0.001,NA,0.000565698421827632
"117",0.001,NA,0.000995587375361429
"118",0.409,NA,0.380392026690902
"119",0.159,NA,0.08829099122278
"120",0.023,NA,0.0515981549514742
"121",0.002,NA,0.00379192325370625
"122",0.016,NA,0.0061554466603374
"123",0.006,NA,0.104610577876392
"124",0.004,NA,0.00486178055538844
"125",0.001,NA,0.00486178055538844
"126",0.037,NA,0.062190003462748
"127",0.004,NA,0.00293388097445924
"128",0.101,NA,0.225355709764238
"129",0.003,NA,0.0352956393152311
"130",0.064,NA,0.143143523659279
"131",0.011,NA,0.0290800845283452
"132",0.001,NA,0.00486178055538844
"133",0.001,NA,0.00131525699734414
"134",0.001,NA,0.00379192325370625
"135",0.064,NA,0.0741284108856448
"136",0.013,NA,0.0061554466603374
"137",0.021,NA,0.0190159276889535
"138",0.001,NA,0.000565698421827632
"139",0.01,NA,0.00486178055538844
"140",0.188,NA,0.225355709764238
"141",0.004,NA,0.0290800845283452
"142",0.002,NA,0.00379192325370625
"143",0.016,NA,0.042711738969382
"144",0.001,NA,5.87538133700605e-08
"145",0.265,NA,0.639157512301366
"146",0.01,NA,0.062190003462748
"147",0.001,NA,9.87712549738173e-06
"148",0.001,NA,0.00226209984200354
"149",0.001,NA,6.63633287523169e-06
"150",0.044,NA,0.042711738969382
"151",0.051,NA,0.08829099122278
"152",0.001,NA,4.49197988261485e-06
"153",0.001,NA,0.042711738969382
"154",0.004,NA,0.0153884656148784
"155",0.002,NA,0.000754051894885976
"156",0.016,NA,0.0290800845283452
"157",0.193,NA,0.143143523659279
"158",0.015,NA,0.0352956393152311
"159",0.003,NA,0.042711738969382
"160",0.011,NA,0.0235963921429023
"161",0.309,NA,0.528636444814501
"162",0.001,NA,8.3767285239511e-05
"163",0.001,NA,0.00486178055538844
"164",0.001,NA,1.19547458155012e-07
"165",0.005,NA,0.00486178055538844
"166",0.012,NA,0.0741284108856448
"167",0.002,NA,0.000754051894885976
"168",0.048,NA,0.0515981549514742
"169",0.003,NA,0.000304022930789682
"170",0.053,NA,0.122762815314633
"171",0.001,NA,0.00486178055538844
"172",0.004,NA,0.00379192325370625
"173",0.02,NA,0.00781590304643887
"174",0.01,NA,0.00781590304643887
"175",0.074,NA,0.122762815314633
"176",0.001,NA,2.07652221577703e-05
"177",0.003,NA,0.00379192325370625
"178",0.025,NA,0.104610577876392
"179",0.012,NA,0.195517517300654
"180",0.001,NA,0.00226209984200354
"181",0.008,NA,0.0153884656148784
"182",0.179,NA,0.255943650553973
"183",0.078,NA,0.225355709764238
