"logcon","smooth","K.S"
"153",0.001,NA,6.63633287523169e-06
"154",0.001,NA,6.63633287523169e-06
"155",0.001,NA,3.06603408173345e-06
"156",0.001,NA,4.35979807811293e-10
"157",0.001,NA,3.0099578535947e-05
"158",0.001,NA,1.43803966512479e-08
"159",0.001,NA,2.08939113122142e-07
"160",0.001,NA,1.25676477469305e-06
"161",0.002,NA,0.00226209984200354
"162",0.001,NA,4.20584944649249e-09
"163",0.001,NA,8.95304619330517e-09
"164",0.001,NA,5.87538133700605e-08
"165",0.001,NA,3.17243209480012e-08
"166",0.001,NA,5.6327531794409e-07
"167",0.001,NA,5.87538133700605e-08
"168",0.001,NA,4.31213369015415e-05
"169",0.001,NA,0.000414535182163278
"170",0.001,NA,3.0099578535947e-05
"171",0.001,NA,0.000565698421827632
"172",0.001,NA,3.71469395132884e-07
"173",0.001,NA,4.31213369015415e-05
"174",0.001,NA,4.49197988261485e-06
"175",0.001,NA,0.000414535182163278
"176",0.001,NA,1.25676477469305e-06
"177",0.001,NA,1.43355342960838e-05
"178",0.001,NA,0.000754051894885976
"179",0.001,NA,6.63633287523169e-06
"180",0.001,NA,8.14700074069918e-07
"181",0.001,NA,2.01829422796784e-06
"182",0.001,NA,9.87712549738173e-06
"183",0.001,NA,2.08939113122142e-07
"184",0.001,NA,2.01829422796784e-06
"185",0.001,NA,8.31554388680544e-08
"186",0.001,NA,1.58239876757449e-09
"187",0.001,NA,4.20584944649249e-09
"188",0.001,NA,8.31554388680544e-08
"189",0.001,NA,1.58239876757449e-09
"190",0.001,NA,1.43803966512479e-08
"191",0.002,NA,0.00293388097445924
"192",0.001,NA,3.06603408173345e-06
"193",0.001,NA,3.17243209480012e-08
"194",0.001,NA,5.87538133700605e-08
"195",0.001,NA,3.06603408173345e-06
"196",0.001,NA,2.01829422796784e-06
"197",0.001,NA,6.63633287523169e-06
"198",0.001,NA,8.95304619330517e-09
"199",0.001,NA,2.08939113122142e-07
"200",0.001,NA,7.32900506950074e-09
"201",0.001,NA,2.08939113122142e-07
"202",0.001,NA,3.06603408173345e-06
"203",0.001,NA,1.25676477469305e-06
"204",0.001,NA,4.20584944649249e-09
"205",0.001,NA,4.31213369015415e-05
"206",0.001,NA,3.17243209480012e-08
"207",0.001,NA,1.43803966512479e-08
"208",0.001,NA,5.6327531794409e-07
"209",0.001,NA,0.000165925744671003
"210",0.001,NA,9.87712549738173e-06
"211",0.001,NA,4.20584944649249e-09
"212",0.001,NA,3.06603408173345e-06
"213",0.001,NA,1.43803966512479e-08
"214",0.001,NA,7.32900506950074e-09
"215",0.001,NA,3.0099578535947e-05
"216",0.001,NA,0.00131525699734414
"217",0.001,NA,7.32900506950074e-09
"218",0.001,NA,2.01829422796784e-06
"219",0.001,NA,6.00175156008076e-05
"220",0.001,NA,3.0099578535947e-05
"221",0.001,NA,6.24631013579346e-10
