"logcon","smooth","K.S"
"1",0.665,NA,0.699591898907392
"2",0.141,NA,0.104610577876392
"3",0.007,NA,0.0235963921429023
"4",0.438,NA,0.584470467364235
"5",0.845,NA,0.804038612874548
"6",0.063,NA,0.062190003462748
"7",0.197,NA,0.424926216384804
"8",0.035,NA,0.0515981549514742
"9",0.88,NA,0.584470467364235
"10",0.005,NA,0.00781590304643887
"11",0.614,NA,0.584470467364235
"12",0.341,NA,0.699591898907392
"13",0.007,NA,0.00781590304643887
"14",0.697,NA,0.424926216384804
"15",0.095,NA,0.08829099122278
"16",0.047,NA,0.042711738969382
"17",0.427,NA,0.990625606021044
"18",0.153,NA,0.584470467364235
"19",0.254,NA,0.293378998554977
"20",0.585,NA,0.424926216384804
"21",0.476,NA,0.584470467364235
"22",0.918,NA,0.75312400165754
"23",0.728,NA,0.380392026690902
"24",0.431,NA,0.528636444814501
"25",0.343,NA,0.042711738969382
"26",0.785,NA,0.75312400165754
"27",0.225,NA,0.699591898907392
"28",0.025,NA,0.00226209984200354
"29",0.585,NA,0.584470467364235
"30",0.58,NA,0.584470467364235
"31",0.354,NA,0.122762815314633
"32",0.235,NA,0.195517517300654
"33",0.022,NA,0.062190003462748
"34",0.388,NA,0.122762815314633
"35",0.904,NA,0.935581912854196
"36",0.671,NA,0.474334165551545
"37",0.245,NA,0.335700352632256
"38",0.161,NA,0.195517517300654
"39",0.331,NA,0.167629861468165
"40",0.117,NA,0.143143523659279
"41",0.091,NA,0.167629861468165
"42",0.601,NA,0.804038612874548
"43",0.092,NA,0.122762815314633
"44",0.162,NA,0.424926216384804
"45",0.421,NA,0.584470467364235
"46",0.118,NA,0.0741284108856448
"47",0.882,NA,0.959703183178312
"48",0.056,NA,0.255943650553973
"49",0.371,NA,0.335700352632256
"50",0.096,NA,0.225355709764238
"51",0.211,NA,0.293378998554977
"52",0.051,NA,0.042711738969382
"53",0.079,NA,0.195517517300654
"54",0.831,NA,0.699591898907392
"55",0.744,NA,0.89860822198259
"56",0.753,NA,0.293378998554977
"57",0.304,NA,0.195517517300654
"58",0.061,NA,0.167629861468165
"59",0.418,NA,0.474334165551545
"60",0.055,NA,0.225355709764238
"61",0.806,NA,0.528636444814501
"62",0.132,NA,0.104610577876392
"63",0.283,NA,0.804038612874548
"64",0.639,NA,0.75312400165754
"65",0.206,NA,0.293378998554977
"66",0.276,NA,0.293378998554977
"67",0.723,NA,0.528636444814501
"68",0.726,NA,0.959703183178312
"69",0.564,NA,0.293378998554977
"70",0.02,NA,0.0190159276889535
"71",0.113,NA,0.0515981549514742
"72",0.695,NA,0.75312400165754
"73",0.018,NA,0.0290800845283452
"74",0.203,NA,0.225355709764238
"75",0.003,NA,0.00379192325370625
"76",0.544,NA,0.528636444814501
"77",0.013,NA,0.0515981549514742
"78",0.01,NA,0.0235963921429023
"79",0.015,NA,0.0290800845283452
"80",0.379,NA,0.167629861468165
"81",0.213,NA,0.195517517300654
"82",0.003,NA,0.00293388097445924
"83",0.227,NA,0.293378998554977
"84",0.238,NA,0.335700352632256
"85",0.712,NA,0.850394930068128
"86",0.017,NA,0.0290800845283452
