"logcon","smooth","K.S"
"1",0.001,NA,8.3767285239511e-05
"2",0.032,NA,0.00781590304643887
"3",0.021,NA,0.062190003462748
"4",0.001,NA,0.00379192325370625
"5",0.017,NA,0.0190159276889535
"6",0.052,NA,0.0741284108856448
"7",0.001,NA,6.00175156008076e-05
"8",0.037,NA,0.122762815314633
"9",0.001,NA,0.000995587375361429
"10",0.021,NA,0.0124506515852041
"11",0.002,NA,0.00293388097445924
"12",0.087,NA,0.167629861468165
"13",0.001,NA,0.000304022930789682
"14",0.001,NA,2.01829422796784e-06
"15",0.059,NA,0.0190159276889535
"16",0.002,NA,0.00781590304643887
"17",0.009,NA,0.0153884656148784
"18",0.001,NA,8.14700074069918e-07
"19",0.019,NA,0.0290800845283452
"20",0.004,NA,0.0515981549514742
"21",0.008,NA,0.0290800845283452
"22",0.002,NA,0.00379192325370625
"23",0.002,NA,0.00226209984200354
"24",0.008,NA,0.00379192325370625
"25",0.01,NA,0.000225266396098323
"26",0.006,NA,0.0352956393152311
"27",0.005,NA,0.042711738969382
"28",0.053,NA,0.0235963921429023
"29",0.002,NA,0.00173489159612916
"30",0.007,NA,0.00781590304643887
"31",0.165,NA,0.08829099122278
"32",0.001,NA,0.000304022930789682
"33",0.176,NA,0.335700352632256
"34",0.002,NA,0.00293388097445924
"35",0.002,NA,0.00173489159612916
"36",0.081,NA,0.167629861468165
"37",0.001,NA,9.87712549738173e-06
"38",0.002,NA,0.00131525699734414
"39",0.003,NA,0.00226209984200354
"40",0.011,NA,0.0190159276889535
"41",0.174,NA,0.167629861468165
"42",0.009,NA,0.0124506515852041
"43",0.001,NA,0.00131525699734414
"44",0.048,NA,0.042711738969382
"45",0.004,NA,0.0290800845283452
"46",0.037,NA,0.0235963921429023
"47",0.002,NA,0.000565698421827632
"48",0.001,NA,0.000754051894885976
"49",0.001,NA,0.00379192325370625
"50",0.012,NA,0.00991306014786442
"51",0.009,NA,0.00991306014786442
"52",0.029,NA,0.0290800845283452
"53",0.001,NA,0.000754051894885976
"54",0.001,NA,0.000225266396098323
"55",0.001,NA,0.000165925744671003
"56",0.001,NA,0.000165925744671003
"57",0.004,NA,0.0352956393152311
"58",0.002,NA,0.00991306014786442
"59",0.002,NA,0.000565698421827632
"60",0.01,NA,0.000995587375361429
"61",0.001,NA,0.00226209984200354
"62",0.001,NA,0.000118525403126402
"63",0.011,NA,0.0235963921429023
"64",0.001,NA,9.87712549738173e-06
"65",0.002,NA,0.00131525699734414
