"logcon","smooth","K.S"
"1",0.002,NA,0.000995587375361429
"2",0.651,NA,0.990625606021044
"3",0.535,NA,0.89860822198259
"4",0.14,NA,0.195517517300654
"5",0.159,NA,0.104610577876392
"6",0.886,NA,0.959703183178312
"7",0.005,NA,0.00486178055538844
"8",0.591,NA,0.89860822198259
"9",0.014,NA,0.062190003462748
"10",0.825,NA,0.804038612874548
"11",0.119,NA,0.08829099122278
"12",0.705,NA,0.293378998554977
"13",0.013,NA,0.042711738969382
"14",0.004,NA,0.00486178055538844
"15",0.42,NA,0.424926216384804
"16",0.26,NA,0.804038612874548
"17",0.045,NA,0.122762815314633
"18",0.001,NA,0.000995587375361429
"19",0.157,NA,0.225355709764238
"20",0.258,NA,0.195517517300654
"21",0.765,NA,0.380392026690902
"22",0.057,NA,0.0741284108856448
"23",0.137,NA,0.167629861468165
"24",0.15,NA,0.335700352632256
"25",0.119,NA,0.104610577876392
"26",0.235,NA,0.0741284108856448
"27",0.549,NA,0.89860822198259
"28",0.891,NA,0.225355709764238
"29",0.124,NA,0.0190159276889535
"30",0.223,NA,0.167629861468165
"31",0.704,NA,0.528636444814501
"32",0.167,NA,0.08829099122278
"33",0.379,NA,0.75312400165754
"34",0.447,NA,0.75312400165754
"35",0.013,NA,0.00379192325370625
"36",0.685,NA,0.699591898907392
"37",0.066,NA,0.0515981549514742
"38",0.222,NA,0.195517517300654
"39",0.28,NA,0.225355709764238
"40",0.691,NA,0.639157512301366
"41",0.982,NA,0.990625606021044
"42",0.078,NA,0.225355709764238
"43",0.062,NA,0.0290800845283452
"44",0.491,NA,0.528636444814501
"45",0.313,NA,0.424926216384804
"46",0.155,NA,0.167629861468165
"47",0.062,NA,0.167629861468165
"48",0.076,NA,0.143143523659279
"49",0.11,NA,0.255943650553973
"50",0.39,NA,0.195517517300654
"51",0.371,NA,0.424926216384804
"52",0.704,NA,0.699591898907392
"53",0.18,NA,0.143143523659279
"54",0.023,NA,0.143143523659279
"55",0.071,NA,0.08829099122278
"56",0.028,NA,0.0235963921429023
"57",0.025,NA,0.08829099122278
"58",0.093,NA,0.167629861468165
"59",0.116,NA,0.225355709764238
"60",0.109,NA,0.0235963921429023
"61",0.042,NA,0.0153884656148784
"62",0.093,NA,0.104610577876392
"63",0.136,NA,0.255943650553973
"64",0.021,NA,0.0290800845283452
"65",0.173,NA,0.195517517300654
"66",0.104,NA,0.474334165551545
"67",0.017,NA,0.042711738969382
"68",0.01,NA,0.0153884656148784
"69",0.004,NA,0.00379192325370625
"70",0.714,NA,0.850394930068128
"71",0.733,NA,0.584470467364235
"72",0.053,NA,0.195517517300654
"73",0.718,NA,0.935581912854196
"74",0.219,NA,0.195517517300654
"75",0.938,NA,0.75312400165754
"76",0.033,NA,0.08829099122278
"77",0.742,NA,0.380392026690902
"78",0.539,NA,0.225355709764238
"79",0.876,NA,0.935581912854196
