"logcon","smooth","K.S"
"1",0.544,NA,0.474334165551545
"2",0.634,NA,0.850394930068128
"3",0.014,NA,0.0153884656148784
"4",0.081,NA,0.225355709764238
"5",0.002,NA,0.00226209984200354
"6",0.628,NA,0.75312400165754
"7",0.377,NA,0.424926216384804
"8",0.008,NA,0.0190159276889535
"9",0.024,NA,0.0235963921429023
"10",0.8,NA,0.959703183178312
"11",0.03,NA,0.042711738969382
"12",0.002,NA,0.00379192325370625
"13",0.867,NA,0.990625606021044
"14",0.45,NA,0.380392026690902
"15",0.011,NA,0.0190159276889535
"16",0.66,NA,0.804038612874548
"17",0.437,NA,0.293378998554977
"18",0.485,NA,0.699591898907392
"19",0.097,NA,0.195517517300654
"20",0.353,NA,0.380392026690902
"21",0.606,NA,0.804038612874548
"22",0.863,NA,0.639157512301366
"23",0.736,NA,0.804038612874548
"24",0.654,NA,0.424926216384804
"25",0.073,NA,0.167629861468165
"26",0.325,NA,0.424926216384804
"27",0.382,NA,0.195517517300654
"28",0.179,NA,0.335700352632256
"29",0.329,NA,0.195517517300654
"30",0.018,NA,0.0153884656148784
"31",0.265,NA,0.122762815314633
"32",0.019,NA,0.0235963921429023
"33",0.016,NA,0.0515981549514742
"34",0.619,NA,0.699591898907392
"35",0.055,NA,0.062190003462748
"36",0.101,NA,0.122762815314633
"37",0.188,NA,0.195517517300654
"38",0.027,NA,0.0741284108856448
"39",0.113,NA,0.474334165551545
"40",0.125,NA,0.143143523659279
"41",0.782,NA,0.850394930068128
"42",0.957,NA,0.804038612874548
"43",0.038,NA,0.08829099122278
"44",0.007,NA,0.00486178055538844
"45",0.12,NA,0.08829099122278
"46",0.748,NA,0.528636444814501
"47",0.105,NA,0.062190003462748
"48",0.492,NA,0.424926216384804
"49",0.115,NA,0.143143523659279
"50",0.005,NA,0.00379192325370625
"51",0.176,NA,0.255943650553973
"52",0.071,NA,0.0741284108856448
"53",0.072,NA,0.293378998554977
"54",0.556,NA,0.639157512301366
"55",0.008,NA,0.00781590304643887
"56",0.508,NA,0.75312400165754
"57",0.355,NA,0.255943650553973
"58",0.343,NA,0.528636444814501
"59",0.127,NA,0.167629861468165
"60",0.058,NA,0.0352956393152311
"61",0.031,NA,0.042711738969382
"62",0.303,NA,0.195517517300654
"63",0.048,NA,0.122762815314633
"64",0.021,NA,0.042711738969382
"65",0.073,NA,0.143143523659279
"66",0.076,NA,0.062190003462748
"67",0.059,NA,0.225355709764238
"68",0.285,NA,0.195517517300654
"69",0.016,NA,0.0290800845283452
"70",0.736,NA,0.89860822198259
"71",0.113,NA,0.0352956393152311
"72",0.704,NA,0.850394930068128
"73",0.215,NA,0.255943650553973
"74",0.248,NA,0.225355709764238
"75",0.283,NA,0.474334165551545
"76",0.001,NA,0.000165925744671003
"77",0.875,NA,0.959703183178312
"78",0.012,NA,0.0061554466603374
"79",0.017,NA,0.042711738969382
"80",0.067,NA,0.122762815314633
"81",0.018,NA,0.0235963921429023
"82",0.079,NA,0.143143523659279
"83",0.806,NA,0.584470467364235
"84",0.03,NA,0.062190003462748
"85",0.001,NA,0.000995587375361429
"86",0.017,NA,0.0190159276889535
"87",0.077,NA,0.062190003462748
"88",0.402,NA,0.699591898907392
"89",0.539,NA,0.474334165551545
"90",0.805,NA,0.380392026690902
"91",0.2,NA,0.042711738969382
"92",0.002,NA,0.00173489159612916
"93",0.377,NA,0.584470467364235
"94",0.061,NA,0.0515981549514742
