"logcon","smooth","K.S"
"1",0.006,NA,0.00781590304643887
"2",0.106,NA,0.195517517300654
"3",0.001,NA,6.00175156008076e-05
"4",0.002,NA,0.0235963921429023
"5",0.001,NA,2.07652221577703e-05
"6",0.05,NA,0.143143523659279
"7",0.03,NA,0.0741284108856448
"8",0.001,NA,0.00131525699734414
"9",0.001,NA,3.0099578535947e-05
"10",0.208,NA,0.293378998554977
"11",0.001,NA,8.3767285239511e-05
"12",0.001,NA,4.31213369015415e-05
"13",0.085,NA,0.143143523659279
"14",0.564,NA,0.424926216384804
"15",0.001,NA,0.000165925744671003
"16",0.05,NA,0.0741284108856448
"17",0.367,NA,0.699591898907392
"18",0.067,NA,0.195517517300654
"19",0.002,NA,0.00991306014786442
"20",0.021,NA,0.0290800845283452
"21",0.033,NA,0.0235963921429023
"22",0.046,NA,0.062190003462748
"23",0.039,NA,0.08829099122278
"24",0.007,NA,0.00173489159612916
"25",0.002,NA,0.00991306014786442
"26",0.02,NA,0.0190159276889535
"27",0.035,NA,0.0235963921429023
"28",0.008,NA,0.0061554466603374
"29",0.02,NA,0.00991306014786442
"30",0.001,NA,0.00226209984200354
"31",0.01,NA,0.0290800845283452
"32",0.001,NA,0.000118525403126402
"33",0.001,NA,0.000414535182163278
"34",0.022,NA,0.0352956393152311
"35",0.003,NA,0.00486178055538844
"36",0.003,NA,0.0235963921429023
"37",0.003,NA,0.00131525699734414
"38",0.001,NA,0.000754051894885976
"39",0.017,NA,0.062190003462748
"40",0.007,NA,0.0190159276889535
"41",0.188,NA,0.225355709764238
"42",0.306,NA,0.225355709764238
"43",0.002,NA,0.000995587375361429
"44",0.001,NA,0.000304022930789682
"45",0.002,NA,0.00226209984200354
"46",0.024,NA,0.062190003462748
"47",0.001,NA,0.00293388097445924
"48",0.025,NA,0.042711738969382
"49",0.011,NA,0.00293388097445924
"50",0.001,NA,6.63633287523169e-06
"51",0.013,NA,0.0352956393152311
"52",0.002,NA,0.00781590304643887
"53",0.006,NA,0.00173489159612916
"54",0.069,NA,0.0352956393152311
"55",0.001,NA,8.3767285239511e-05
"56",0.018,NA,0.0515981549514742
"57",0.047,NA,0.0741284108856448
"58",0.013,NA,0.0515981549514742
"59",0.005,NA,0.00781590304643887
"60",0.001,NA,0.000754051894885976
"61",0.001,NA,0.00486178055538844
"62",0.017,NA,0.0235963921429023
"63",0.001,NA,0.00781590304643887
"64",0.001,NA,0.00226209984200354
"65",0.006,NA,0.00781590304643887
"66",0.002,NA,0.000304022930789682
"67",0.005,NA,0.0061554466603374
"68",0.006,NA,0.00991306014786442
"69",0.001,NA,4.31213369015415e-05
"70",0.023,NA,0.0124506515852041
"71",0.003,NA,0.00293388097445924
"72",0.046,NA,0.08829099122278
"73",0.013,NA,0.0235963921429023
"74",0.007,NA,0.0235963921429023
"75",0.011,NA,0.0352956393152311
"76",0.001,NA,6.63633287523169e-06
"77",0.19,NA,0.104610577876392
"78",0.001,NA,0.000304022930789682
"79",0.001,NA,0.00486178055538844
"80",0.003,NA,0.0190159276889535
"81",0.001,NA,0.000225266396098323
"82",0.002,NA,0.00486178055538844
"83",0.072,NA,0.167629861468165
"84",0.001,NA,0.000565698421827632
"85",0.001,NA,4.31213369015415e-05
"86",0.001,NA,0.000414535182163278
"87",0.001,NA,0.000414535182163278
"88",0.046,NA,0.293378998554977
"89",0.112,NA,0.143143523659279
"90",0.031,NA,0.0515981549514742
"91",0.006,NA,0.000995587375361429
"92",0.001,NA,8.3767285239511e-05
"93",0.052,NA,0.122762815314633
"94",0.002,NA,0.00173489159612916
"95",0.007,NA,0.00173489159612916
"96",0.228,NA,0.167629861468165
"97",0.008,NA,0.0290800845283452
"98",0.041,NA,0.0741284108856448
"99",0.001,NA,0.000165925744671003
"100",0.001,NA,0.000165925744671003
"101",0.001,NA,0.00226209984200354
"102",0.021,NA,0.0190159276889535
"103",0.001,NA,0.000304022930789682
"104",0.021,NA,0.0235963921429023
"105",0.002,NA,0.000165925744671003
"106",0.009,NA,0.0235963921429023
"107",0.008,NA,0.0235963921429023
"108",0.001,NA,0.00226209984200354
"109",0.012,NA,0.0515981549514742
"110",0.195,NA,0.699591898907392
"111",0.002,NA,0.00379192325370625
"112",0.001,NA,0.00131525699734414
"113",0.001,NA,0.00226209984200354
"114",0.006,NA,0.0124506515852041
"115",0.01,NA,0.0235963921429023
"116",0.009,NA,0.042711738969382
"117",0.001,NA,0.000165925744671003
"118",0.001,NA,0.000304022930789682
"119",0.001,NA,0.000225266396098323
"120",0.011,NA,0.0124506515852041
"121",0.006,NA,0.00781590304643887
"122",0.006,NA,0.0352956393152311
"123",0.03,NA,0.0235963921429023
"124",0.005,NA,0.0190159276889535
"125",0.009,NA,0.0124506515852041
"126",0.002,NA,0.00226209984200354
"127",0.004,NA,0.0124506515852041
"128",0.012,NA,0.0352956393152311
"129",0.028,NA,0.104610577876392
"130",0.001,NA,0.000414535182163278
