"logcon","smooth","K.S"
"1",0.638,NA,0.528636444814501
"2",0.018,NA,0.0235963921429023
"3",0.002,NA,0.00379192325370625
"4",0.076,NA,0.08829099122278
"5",0.199,NA,0.335700352632256
"6",0.007,NA,0.00226209984200354
"7",0.508,NA,0.584470467364235
"8",0.005,NA,0.0124506515852041
"9",0.254,NA,0.225355709764238
"10",0.001,NA,0.000414535182163278
"11",0.087,NA,0.062190003462748
"12",0.063,NA,0.062190003462748
"13",0.001,NA,0.000754051894885976
"14",0.068,NA,0.062190003462748
"15",0.01,NA,0.00486178055538844
"16",0.001,NA,0.000995587375361429
"17",0.148,NA,0.293378998554977
"18",0.186,NA,0.293378998554977
"19",0.041,NA,0.143143523659279
"20",0.119,NA,0.104610577876392
"21",0.064,NA,0.104610577876392
"22",0.399,NA,0.335700352632256
"23",0.077,NA,0.122762815314633
"24",0.097,NA,0.293378998554977
"25",0.12,NA,0.0352956393152311
"26",0.28,NA,0.335700352632256
"27",0.045,NA,0.167629861468165
"28",0.005,NA,0.000165925744671003
"29",0.076,NA,0.062190003462748
"30",0.176,NA,0.122762815314633
"31",0.028,NA,0.0124506515852041
"32",0.03,NA,0.0515981549514742
"33",0.002,NA,0.00293388097445924
"34",0.053,NA,0.062190003462748
"35",0.216,NA,0.255943650553973
"36",0.143,NA,0.122762815314633
"37",0.042,NA,0.195517517300654
"38",0.002,NA,0.00991306014786442
"39",0.044,NA,0.0515981549514742
"40",0.019,NA,0.0153884656148784
"41",0.018,NA,0.0290800845283452
"42",0.247,NA,0.293378998554977
"43",0.01,NA,0.00991306014786442
"44",0.038,NA,0.0741284108856448
"45",0.101,NA,0.143143523659279
"46",0.014,NA,0.0290800845283452
"47",0.032,NA,0.0515981549514742
"48",0.017,NA,0.042711738969382
"49",0.017,NA,0.0235963921429023
"50",0.069,NA,0.122762815314633
"51",0.042,NA,0.0352956393152311
"52",0.004,NA,0.00379192325370625
"53",0.004,NA,0.00486178055538844
"54",0.489,NA,0.424926216384804
"55",0.489,NA,0.528636444814501
"56",0.099,NA,0.0741284108856448
"57",0.103,NA,0.104610577876392
"58",0.003,NA,0.0352956393152311
"59",0.053,NA,0.062190003462748
"60",0.004,NA,0.042711738969382
"61",0.974,NA,0.89860822198259
"62",0.093,NA,0.104610577876392
"63",0.061,NA,0.143143523659279
"64",0.142,NA,0.380392026690902
"65",0.137,NA,0.167629861468165
"66",0.024,NA,0.0235963921429023
"67",0.14,NA,0.143143523659279
"68",0.351,NA,0.062190003462748
"69",0.028,NA,0.00293388097445924
"70",0.002,NA,0.000995587375361429
"71",0.007,NA,0.0235963921429023
"72",0.427,NA,0.89860822198259
"73",0.003,NA,0.0124506515852041
"74",0.027,NA,0.0124506515852041
"75",0.001,NA,0.000225266396098323
"76",0.068,NA,0.122762815314633
"77",0.002,NA,0.0061554466603374
"78",0.001,NA,0.000414535182163278
"79",0.001,NA,0.00293388097445924
"80",0.126,NA,0.0153884656148784
"81",0.018,NA,0.0190159276889535
"82",0.002,NA,0.00173489159612916
"83",0.031,NA,0.08829099122278
"84",0.142,NA,0.122762815314633
"85",0.689,NA,0.850394930068128
"86",0.002,NA,0.000565698421827632
"87",0.011,NA,0.00781590304643887
"88",0.548,NA,0.255943650553973
"89",0.13,NA,0.08829099122278
"90",0.488,NA,0.584470467364235
"91",0.104,NA,0.0124506515852041
"92",0.001,NA,0.000304022930789682
"93",0.032,NA,0.104610577876392
"94",0.003,NA,0.0061554466603374
"95",0.003,NA,0.00226209984200354
"96",0.037,NA,0.00781590304643887
"97",0.005,NA,0.00226209984200354
"98",0.002,NA,0.00173489159612916
"99",0.33,NA,0.104610577876392
"100",0.01,NA,0.062190003462748
"101",0.002,NA,0.00379192325370625
"102",0.006,NA,0.0290800845283452
"103",0.002,NA,0.000565698421827632
"104",0.084,NA,0.08829099122278
"105",0.035,NA,0.122762815314633
"106",0.02,NA,0.08829099122278
"107",0.013,NA,0.00781590304643887
"108",0.203,NA,0.293378998554977
"109",0.008,NA,0.00486178055538844
"110",0.812,NA,0.528636444814501
"111",0.001,NA,1.25676477469305e-06
"112",0.018,NA,0.0235963921429023
"113",0.122,NA,0.143143523659279
"114",0.206,NA,0.335700352632256
"115",0.011,NA,0.00991306014786442
"116",0.002,NA,0.00173489159612916
"117",0.004,NA,0.00293388097445924
"118",0.22,NA,0.424926216384804
"119",0.696,NA,0.474334165551545
"120",0.028,NA,0.0235963921429023
"121",0.002,NA,0.00293388097445924
"122",0.019,NA,0.00991306014786442
"123",0.319,NA,0.335700352632256
"124",0.101,NA,0.143143523659279
"125",0.003,NA,0.042711738969382
"126",0.454,NA,0.584470467364235
"127",0.017,NA,0.00781590304643887
"128",0.784,NA,0.528636444814501
"129",0.065,NA,0.167629861468165
"130",0.159,NA,0.225355709764238
"131",0.016,NA,0.122762815314633
"132",0.005,NA,0.0124506515852041
"133",0.007,NA,0.0190159276889535
"134",0.011,NA,0.0290800845283452
"135",0.332,NA,0.424926216384804
"136",0.038,NA,0.0153884656148784
"137",0.082,NA,0.104610577876392
"138",0.001,NA,0.000565698421827632
"139",0.033,NA,0.0190159276889535
"140",0.593,NA,0.959703183178312
"141",0.257,NA,0.293378998554977
"142",0.008,NA,0.00991306014786442
"143",0.026,NA,0.042711738969382
"144",0.001,NA,5.87538133700605e-08
"145",0.69,NA,0.935581912854196
"146",0.058,NA,0.225355709764238
"147",0.001,NA,4.31213369015415e-05
"148",0.004,NA,0.0061554466603374
"149",0.001,NA,3.0099578535947e-05
"150",0.124,NA,0.104610577876392
"151",0.415,NA,0.474334165551545
"152",0.001,NA,9.87712549738173e-06
"153",0.01,NA,0.042711738969382
"154",0.063,NA,0.195517517300654
"155",0.019,NA,0.0290800845283452
"156",0.052,NA,0.0741284108856448
"157",0.267,NA,0.255943650553973
"158",0.015,NA,0.0741284108856448
"159",0.062,NA,0.293378998554977
"160",0.038,NA,0.0515981549514742
"161",0.718,NA,0.584470467364235
"162",0.006,NA,0.00226209984200354
"163",0.002,NA,0.00486178055538844
"164",0.001,NA,8.3767285239511e-05
"165",0.097,NA,0.0741284108856448
"166",0.056,NA,0.225355709764238
"167",0.156,NA,0.225355709764238
"168",0.074,NA,0.225355709764238
"169",0.013,NA,0.00293388097445924
"170",0.16,NA,0.122762815314633
"171",0.011,NA,0.0153884656148784
"172",0.003,NA,0.0190159276889535
"173",0.107,NA,0.195517517300654
"174",0.019,NA,0.00781590304643887
"175",0.131,NA,0.195517517300654
"176",0.001,NA,9.87712549738173e-06
"177",0.002,NA,0.0153884656148784
"178",0.128,NA,0.335700352632256
"179",0.041,NA,0.225355709764238
"180",0.013,NA,0.0352956393152311
"181",0.04,NA,0.0290800845283452
"182",0.235,NA,0.255943650553973
"183",0.742,NA,0.75312400165754
"184",0.212,NA,0.293378998554977
"185",0.014,NA,0.00991306014786442
"186",0.005,NA,0.0061554466603374
"187",0.008,NA,0.0235963921429023
"188",0.001,NA,0.000118525403126402
"189",0.015,NA,0.0290800845283452
"190",0.049,NA,0.0235963921429023
"191",0.026,NA,0.00991306014786442
"192",0.001,NA,8.3767285239511e-05
"193",0.174,NA,0.143143523659279
"194",0.011,NA,0.00131525699734414
"195",0.863,NA,0.639157512301366
"196",0.515,NA,0.528636444814501
"197",0.291,NA,0.335700352632256
"198",0.012,NA,0.042711738969382
"199",0.629,NA,0.850394930068128
"200",0.007,NA,0.00293388097445924
"201",0.001,NA,0.000995587375361429
"202",0.132,NA,0.0290800845283452
"203",0.023,NA,0.104610577876392
"204",0.142,NA,0.122762815314633
"205",0.055,NA,0.042711738969382
"206",0.003,NA,0.0235963921429023
"207",0.004,NA,0.00991306014786442
"208",0.215,NA,0.335700352632256
"209",0.003,NA,0.000754051894885976
"210",0.058,NA,0.062190003462748
"211",0.016,NA,0.062190003462748
"212",0.002,NA,0.0290800845283452
"213",0.033,NA,0.08829099122278
"214",0.004,NA,0.0124506515852041
"215",0.018,NA,0.0124506515852041
"216",0.964,NA,0.850394930068128
"217",0.026,NA,0.0124506515852041
"218",0.892,NA,0.89860822198259
"219",0.098,NA,0.042711738969382
"220",0.062,NA,0.062190003462748
"221",0.192,NA,0.380392026690902
"222",0.064,NA,0.0235963921429023
"223",0.005,NA,0.0290800845283452
"224",0.024,NA,0.062190003462748
"225",0.118,NA,0.0352956393152311
"226",0.764,NA,0.699591898907392
"227",0.011,NA,0.0290800845283452
"228",0.013,NA,0.08829099122278
"229",0.02,NA,0.0235963921429023
"230",0.039,NA,0.143143523659279
"231",0.001,NA,0.000165925744671003
"232",0.014,NA,0.08829099122278
"233",0.023,NA,0.0235963921429023
"234",0.025,NA,0.0290800845283452
"235",0.005,NA,0.00379192325370625
"236",0.028,NA,0.0235963921429023
"237",0.583,NA,0.699591898907392
"238",0.007,NA,0.0235963921429023
"239",0.049,NA,0.122762815314633
"240",0.092,NA,0.0352956393152311
"241",0.001,NA,3.0099578535947e-05
"242",0.02,NA,0.00781590304643887
"243",0.33,NA,0.293378998554977
"244",0.007,NA,0.0290800845283452
"245",0.115,NA,0.255943650553973
"246",0.164,NA,0.0352956393152311
"247",0.007,NA,0.0290800845283452
"248",0.008,NA,0.0352956393152311
"249",0.042,NA,0.062190003462748
"250",0.001,NA,0.000754051894885976
"251",0.001,NA,0.000225266396098323
"252",0.007,NA,0.0235963921429023
"253",0.001,NA,0.00173489159612916
"254",0.189,NA,0.195517517300654
"255",0.024,NA,0.167629861468165
"256",0.014,NA,0.042711738969382
"257",0.363,NA,0.380392026690902
"258",0.044,NA,0.08829099122278
"259",0.047,NA,0.042711738969382
"260",0.087,NA,0.122762815314633
"261",0.019,NA,0.0235963921429023
"262",0.009,NA,0.0515981549514742
"263",0.001,NA,0.00226209984200354
"264",0.049,NA,0.143143523659279
"265",0.001,NA,3.0099578535947e-05
"266",0.022,NA,0.08829099122278
"267",0.037,NA,0.143143523659279
"268",0.021,NA,0.0290800845283452
"269",0.131,NA,0.255943650553973
"270",0.221,NA,0.293378998554977
"271",0.049,NA,0.0190159276889535
"272",0.013,NA,0.00781590304643887
"273",0.005,NA,0.0190159276889535
"274",0.207,NA,0.335700352632256
"275",0.019,NA,0.0290800845283452
"276",0.001,NA,9.87712549738173e-06
"277",0.096,NA,0.062190003462748
"278",0.007,NA,0.00486178055538844
"279",0.026,NA,0.0515981549514742
"280",0.025,NA,0.062190003462748
"281",0.391,NA,0.850394930068128
"282",0.01,NA,0.0124506515852041
"283",0.011,NA,0.0290800845283452
"284",0.115,NA,0.122762815314633
"285",0.01,NA,0.0124506515852041
"286",0.055,NA,0.0290800845283452
"287",0.036,NA,0.042711738969382
"288",0.012,NA,0.00379192325370625
"289",0.001,NA,0.00293388097445924
"290",0.002,NA,0.00486178055538844
"291",0.746,NA,0.75312400165754
"292",0.05,NA,0.225355709764238
"293",0.004,NA,0.00379192325370625
"294",0.003,NA,0.00293388097445924
"295",0.005,NA,0.00486178055538844
"296",0.001,NA,0.000754051894885976
"297",0.003,NA,0.00486178055538844
"298",0.002,NA,0.00293388097445924
