"logcon","smooth","K.S"
"1",0.059,NA,0.104610577876392
"2",0.405,NA,0.380392026690902
"3",0.097,NA,0.143143523659279
"4",0.53,NA,0.699591898907392
"5",0.55,NA,0.424926216384804
"6",0.476,NA,0.424926216384804
"7",0.089,NA,0.08829099122278
"8",0.426,NA,0.424926216384804
"9",0.293,NA,0.255943650553973
"10",0.124,NA,0.167629861468165
"11",0.294,NA,0.699591898907392
"12",0.251,NA,0.167629861468165
"13",0.251,NA,0.380392026690902
"14",0.18,NA,0.122762815314633
"15",0.49,NA,0.850394930068128
"16",0.535,NA,0.528636444814501
"17",0.445,NA,0.380392026690902
"18",0.014,NA,0.0352956393152311
"19",0.608,NA,0.804038612874548
"20",0.91,NA,0.89860822198259
"21",0.982,NA,0.804038612874548
"22",0.729,NA,0.89860822198259
"23",0.704,NA,0.89860822198259
"24",0.742,NA,0.528636444814501
"25",0.614,NA,0.639157512301366
"26",0.879,NA,0.75312400165754
"27",0.351,NA,0.89860822198259
"28",0.107,NA,0.062190003462748
"29",0.813,NA,0.89860822198259
"30",0.905,NA,0.89860822198259
"31",0.753,NA,0.424926216384804
"32",0.988,NA,0.977062272097343
"33",0.067,NA,0.293378998554977
"34",0.868,NA,0.584470467364235
"35",0.293,NA,0.584470467364235
"36",0.414,NA,0.474334165551545
"37",0.581,NA,0.935581912854196
"38",0.945,NA,0.935581912854196
"39",0.986,NA,0.990625606021044
"40",0.655,NA,0.850394930068128
"41",0.562,NA,0.804038612874548
"42",0.128,NA,0.167629861468165
"43",0.561,NA,0.639157512301366
"44",0.718,NA,0.935581912854196
"45",0.632,NA,0.584470467364235
"46",0.571,NA,0.935581912854196
"47",0.399,NA,0.380392026690902
"48",0.609,NA,0.850394930068128
"49",0.956,NA,0.935581912854196
"50",0.759,NA,0.584470467364235
"51",0.769,NA,0.89860822198259
"52",0.553,NA,0.104610577876392
"53",0.743,NA,0.639157512301366
"54",0.508,NA,0.335700352632256
"55",0.786,NA,0.935581912854196
"56",0.474,NA,0.380392026690902
"57",0.376,NA,0.474334165551545
"58",0.68,NA,0.850394930068128
"59",0.643,NA,0.89860822198259
"60",0.426,NA,0.424926216384804
"61",0.116,NA,0.122762815314633
"62",0.92,NA,0.977062272097343
"63",0.52,NA,0.990625606021044
"64",0.321,NA,0.380392026690902
"65",0.571,NA,0.75312400165754
"66",0.98,NA,0.804038612874548
"67",0.185,NA,0.255943650553973
"68",0.374,NA,0.293378998554977
"69",0.383,NA,0.584470467364235
"70",0.349,NA,0.225355709764238
"71",0.106,NA,0.062190003462748
"72",0.374,NA,0.639157512301366
"73",0.466,NA,0.335700352632256
"74",0.568,NA,0.75312400165754
"75",0.084,NA,0.0515981549514742
"76",0.547,NA,0.75312400165754
"77",0.268,NA,0.167629861468165
"78",0.26,NA,0.195517517300654
"79",0.184,NA,0.528636444814501
"80",0.459,NA,0.935581912854196
"81",0.864,NA,0.89860822198259
"82",0.01,NA,0.00293388097445924
"83",0.762,NA,0.959703183178312
"84",0.763,NA,0.584470467364235
"85",0.888,NA,0.850394930068128
"86",0.229,NA,0.293378998554977
"87",0.33,NA,0.255943650553973
"88",0.59,NA,0.474334165551545
"89",0.935,NA,0.89860822198259
"90",0.26,NA,0.474334165551545
"91",0.64,NA,0.225355709764238
"92",0.173,NA,0.0190159276889535
"93",0.709,NA,0.804038612874548
"94",0.268,NA,0.474334165551545
"95",0.589,NA,0.424926216384804
"96",0.775,NA,0.584470467364235
"97",0.197,NA,0.0741284108856448
"98",0.198,NA,0.122762815314633
"99",0.596,NA,0.75312400165754
"100",0.44,NA,0.584470467364235
"101",0.307,NA,0.528636444814501
"102",0.538,NA,0.850394930068128
"103",0.381,NA,0.380392026690902
"104",0.779,NA,0.959703183178312
"105",0.541,NA,0.424926216384804
"106",0.422,NA,0.528636444814501
"107",0.88,NA,0.474334165551545
"108",0.742,NA,0.850394930068128
"109",0.492,NA,0.335700352632256
"110",0.011,NA,0.0290800845283452
"111",0.063,NA,0.0290800845283452
"112",0.441,NA,0.935581912854196
"113",0.752,NA,0.380392026690902
"114",0.086,NA,0.293378998554977
"115",0.119,NA,0.167629861468165
"116",0.539,NA,0.584470467364235
"117",0.448,NA,0.293378998554977
"118",0.081,NA,0.104610577876392
"119",0.083,NA,0.104610577876392
"120",0.828,NA,0.804038612874548
"121",0.352,NA,0.143143523659279
"122",0.633,NA,0.639157512301366
"123",0.259,NA,0.528636444814501
"124",0.212,NA,0.143143523659279
"125",0.404,NA,0.699591898907392
"126",0.503,NA,0.959703183178312
"127",0.978,NA,0.75312400165754
"128",0.109,NA,0.0741284108856448
"129",0.605,NA,0.380392026690902
"130",1,NA,0.584470467364235
"131",0.291,NA,0.474334165551545
"132",0.556,NA,0.474334165551545
"133",0.182,NA,0.143143523659279
"134",0.36,NA,0.850394930068128
"135",0.066,NA,0.0352956393152311
"136",0.696,NA,0.639157512301366
"137",0.767,NA,0.75312400165754
"138",0.15,NA,0.380392026690902
"139",0.257,NA,0.699591898907392
"140",0.257,NA,0.255943650553973
"141",0.379,NA,0.528636444814501
"142",0.482,NA,0.380392026690902
"143",0.93,NA,0.89860822198259
"144",0.002,NA,0.00379192325370625
"145",0.128,NA,0.0235963921429023
"146",0.919,NA,0.990625606021044
"147",0.005,NA,0.0153884656148784
"148",0.933,NA,0.528636444814501
"149",0.013,NA,0.0235963921429023
"150",0.219,NA,0.255943650553973
"151",0.258,NA,0.639157512301366
"152",0.021,NA,0.00293388097445924
"153",0.381,NA,0.639157512301366
"154",0.407,NA,0.528636444814501
"155",0.993,NA,0.584470467364235
"156",0.984,NA,0.804038612874548
"157",0.417,NA,0.380392026690902
"158",0.479,NA,0.699591898907392
"159",0.532,NA,0.977062272097343
"160",0.51,NA,0.977062272097343
"161",0.051,NA,0.143143523659279
"162",0.068,NA,0.0352956393152311
"163",0.137,NA,0.225355709764238
"164",0.036,NA,0.08829099122278
"165",0.453,NA,0.699591898907392
"166",0.286,NA,0.335700352632256
"167",0.385,NA,0.335700352632256
"168",0.486,NA,0.584470467364235
"169",0.715,NA,0.89860822198259
"170",0.119,NA,0.0515981549514742
"171",0.165,NA,0.380392026690902
"172",0.232,NA,0.335700352632256
"173",0.681,NA,0.850394930068128
"174",0.807,NA,0.935581912854196
"175",0.368,NA,0.380392026690902
"176",0.006,NA,0.0153884656148784
"177",0.175,NA,0.255943650553973
"178",0.131,NA,0.380392026690902
"179",0.597,NA,0.424926216384804
"180",0.111,NA,0.293378998554977
"181",0.785,NA,0.804038612874548
"182",0.681,NA,0.335700352632256
"183",0.268,NA,0.062190003462748
"184",0.475,NA,0.804038612874548
"185",0.914,NA,0.699591898907392
"186",0.371,NA,0.75312400165754
"187",0.356,NA,0.699591898907392
"188",0.032,NA,0.00991306014786442
"189",0.932,NA,0.999254461562743
"190",0.917,NA,0.75312400165754
"191",0.928,NA,0.528636444814501
"192",0.152,NA,0.293378998554977
"193",0.187,NA,0.293378998554977
"194",0.727,NA,0.255943650553973
"195",0.236,NA,0.255943650553973
"196",0.047,NA,0.122762815314633
"197",0.148,NA,0.380392026690902
"198",0.428,NA,0.474334165551545
"199",0.021,NA,0.062190003462748
"200",0.792,NA,0.75312400165754
"201",0.633,NA,0.804038612874548
"202",0.829,NA,0.89860822198259
"203",0.743,NA,0.935581912854196
"204",0.387,NA,0.699591898907392
"205",0.774,NA,0.474334165551545
"206",0.177,NA,0.699591898907392
"207",0.207,NA,0.167629861468165
"208",0.531,NA,0.424926216384804
"209",0.667,NA,0.959703183178312
"210",0.891,NA,0.959703183178312
"211",0.436,NA,0.699591898907392
"212",0.334,NA,0.380392026690902
"213",0.911,NA,0.804038612874548
"214",0.707,NA,0.528636444814501
"215",0.25,NA,0.255943650553973
"216",0.164,NA,0.143143523659279
"217",0.58,NA,0.528636444814501
"218",0.183,NA,0.293378998554977
"219",0.612,NA,0.474334165551545
"220",0.91,NA,0.935581912854196
"221",0.682,NA,0.804038612874548
"222",0.537,NA,0.699591898907392
"223",0.668,NA,0.293378998554977
"224",0.521,NA,0.699591898907392
"225",0.516,NA,0.424926216384804
"226",0.048,NA,0.0741284108856448
"227",0.699,NA,0.584470467364235
"228",0.114,NA,0.293378998554977
"229",0.369,NA,0.699591898907392
"230",0.573,NA,0.335700352632256
"231",0.289,NA,0.225355709764238
"232",0.459,NA,0.850394930068128
"233",0.392,NA,0.699591898907392
"234",0.969,NA,0.977062272097343
"235",0.204,NA,0.255943650553973
"236",0.489,NA,0.195517517300654
"237",0.221,NA,0.122762815314633
"238",0.646,NA,0.75312400165754
"239",0.793,NA,0.959703183178312
"240",0.36,NA,0.380392026690902
"241",0.005,NA,0.00486178055538844
"242",0.955,NA,0.699591898907392
"243",0.34,NA,0.699591898907392
