"logcon","smooth","K.S"
"1",0.514,NA,0.699591898907392
"2",0.03,NA,0.0290800845283452
"3",0.006,NA,0.00991306014786442
"4",0.448,NA,0.584470467364235
"5",0.557,NA,0.584470467364235
"6",0.026,NA,0.0235963921429023
"7",0.408,NA,0.75312400165754
"8",0.056,NA,0.0515981549514742
"9",0.335,NA,0.424926216384804
"10",0.008,NA,0.0190159276889535
"11",0.003,NA,0.042711738969382
"12",0.024,NA,0.0515981549514742
"13",0.053,NA,0.062190003462748
"14",0.562,NA,0.584470467364235
"15",0.156,NA,0.335700352632256
"16",0.045,NA,0.062190003462748
"17",0.632,NA,0.850394930068128
"18",0.104,NA,0.293378998554977
"19",0.17,NA,0.293378998554977
"20",0.634,NA,0.335700352632256
"21",0.406,NA,0.584470467364235
"22",0.432,NA,0.75312400165754
"23",0.454,NA,0.225355709764238
"24",0.368,NA,0.528636444814501
"25",0.244,NA,0.042711738969382
"26",0.23,NA,0.424926216384804
"27",0.163,NA,0.225355709764238
"28",0.013,NA,0.000565698421827632
"29",0.285,NA,0.380392026690902
"30",0.592,NA,0.474334165551545
"31",0.077,NA,0.0290800845283452
"32",0.211,NA,0.335700352632256
"33",0.005,NA,0.0290800845283452
"34",0.053,NA,0.062190003462748
"35",0.99,NA,0.935581912854196
"36",0.112,NA,0.08829099122278
"37",0.488,NA,0.639157512301366
"38",0.124,NA,0.167629861468165
"39",0.242,NA,0.167629861468165
"40",0.108,NA,0.08829099122278
"41",0.088,NA,0.167629861468165
"42",0.462,NA,0.528636444814501
"43",0.065,NA,0.062190003462748
"44",0.172,NA,0.474334165551545
"45",0.557,NA,0.584470467364235
"46",0.05,NA,0.0741284108856448
"47",0.54,NA,0.804038612874548
"48",0.15,NA,0.167629861468165
"49",0.212,NA,0.335700352632256
"50",0.073,NA,0.08829099122278
"51",0.097,NA,0.167629861468165
"52",0.029,NA,0.00991306014786442
"53",0.052,NA,0.195517517300654
"54",0.989,NA,0.474334165551545
"55",0.713,NA,0.850394930068128
"56",0.588,NA,0.474334165551545
"57",0.152,NA,0.104610577876392
"58",0.051,NA,0.143143523659279
"59",0.223,NA,0.195517517300654
"60",0.083,NA,0.255943650553973
"61",0.648,NA,0.528636444814501
"62",0.143,NA,0.195517517300654
"63",0.224,NA,0.424926216384804
"64",0.795,NA,0.935581912854196
"65",0.359,NA,0.528636444814501
"66",0.126,NA,0.122762815314633
"67",0.9,NA,0.75312400165754
"68",0.566,NA,0.804038612874548
"69",0.668,NA,0.474334165551545
"70",0.003,NA,0.000995587375361429
"71",0.009,NA,0.00991306014786442
"72",0.701,NA,0.990625606021044
"73",0.015,NA,0.0290800845283452
"74",0.167,NA,0.255943650553973
"75",0.002,NA,0.00379192325370625
"76",0.419,NA,0.528636444814501
"77",0.014,NA,0.08829099122278
"78",0.003,NA,0.00131525699734414
"79",0.008,NA,0.0235963921429023
"80",0.141,NA,0.042711738969382
"81",0.149,NA,0.104610577876392
"82",0.002,NA,0.000304022930789682
"83",0.199,NA,0.225355709764238
"84",0.293,NA,0.335700352632256
"85",0.53,NA,0.639157512301366
"86",0.016,NA,0.0515981549514742
"87",0.031,NA,0.0352956393152311
"88",0.273,NA,0.699591898907392
"89",0.284,NA,0.08829099122278
